schemaVersion	1
identity	kind	ownerBubble	namespace	name	signature	tier	status	prelude	documentation
api:11	Api	Pop.Standard	Pop.Sequence	isEmpty	isEmpty<T,TSource:Iterable<T>>(TSource)->Boolean	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:12	Api	Pop.Standard	Pop.Sequence	firstOr	firstOr<T,TSource:Iterable<T>>(TSource,T)->T	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:13	Api	Pop.Standard	Pop.Sequence	lastOr	lastOr<T,TSource:Iterable<T>>(TSource,T)->T	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:14	Api	Pop.Standard	Pop.Sequence	each	each<T,TSource:Iterable<T>>(TSource,function(T)->())->()	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:15	Api	Pop.Standard	Pop.Sequence	none	none<T,TSource:Iterable<T>>(TSource,function(T)->Boolean)->Boolean	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:16	Api	Pop.Standard	Pop.Sequence	countWhere	countWhere<T,TSource:Iterable<T>>(TSource,function(T)->Boolean)->Int	standard	prototype	false	architecture/decisions/0064-sequence-inspection-and-visitation.md
api:17	Api	Pop.Standard	Pop.Math	sign	sign(Int)->Int	standard	prototype	false	architecture/decisions/0065-additional-portable-integer-math.md
api:18	Api	Pop.Standard	Pop.Math	lcm	lcm(Int,Int)->Int	standard	prototype	false	architecture/decisions/0065-additional-portable-integer-math.md
api:19	Api	Pop.Standard	Pop.Math	coprime	coprime(Int,Int)->Boolean	standard	prototype	false	architecture/decisions/0065-additional-portable-integer-math.md
api:20	Api	Pop.Standard	Pop.Sequence	take	take<T,TSource:Iterable<T>>(TSource,Int)->Iterator<T>	standard	prototype	false	architecture/decisions/0066-lazy-sequence-bounds-and-composition.md
api:21	Api	Pop.Standard	Pop.Sequence	drop	drop<T,TSource:Iterable<T>>(TSource,Int)->Iterator<T>	standard	prototype	false	architecture/decisions/0066-lazy-sequence-bounds-and-composition.md
api:22	Api	Pop.Standard	Pop.Sequence	takeWhile	takeWhile<T,TSource:Iterable<T>>(TSource,function(T)->Boolean)->Iterator<T>	standard	prototype	false	architecture/decisions/0066-lazy-sequence-bounds-and-composition.md
api:23	Api	Pop.Standard	Pop.Sequence	dropWhile	dropWhile<T,TSource:Iterable<T>>(TSource,function(T)->Boolean)->Iterator<T>	standard	prototype	false	architecture/decisions/0066-lazy-sequence-bounds-and-composition.md
api:24	Api	Pop.Standard	Pop.Sequence	concat	concat<T,TFirst:Iterable<T>,TSecond:Iterable<T>>(TFirst,TSecond)->Iterator<T>	standard	prototype	false	architecture/decisions/0066-lazy-sequence-bounds-and-composition.md
api:25	Api	Pop.Standard	Pop.Sequence	sum	sum<TSource:Iterable<Int>>(TSource)->Int	standard	prototype	false	architecture/decisions/0067-integer-sequence-aggregates.md
api:26	Api	Pop.Standard	Pop.Sequence	product	product<TSource:Iterable<Int>>(TSource)->Int	standard	prototype	false	architecture/decisions/0067-integer-sequence-aggregates.md
api:27	Api	Pop.Standard	Pop.Sequence	minOr	minOr<TSource:Iterable<Int>>(TSource,Int)->Int	standard	prototype	false	architecture/decisions/0067-integer-sequence-aggregates.md
api:28	Api	Pop.Standard	Pop.Sequence	maxOr	maxOr<TSource:Iterable<Int>>(TSource,Int)->Int	standard	prototype	false	architecture/decisions/0067-integer-sequence-aggregates.md
api:29	Api	Pop.Standard	Pop.Sequence	findOr	findOr<T,TSource:Iterable<T>>(TSource,function(T)->Boolean,T)->T	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:30	Api	Pop.Standard	Pop.Sequence	indexOr	indexOr<T,TSource:Iterable<T>>(TSource,function(T)->Boolean,Int)->Int	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:31	Api	Pop.Standard	Pop.Sequence	sumBy	sumBy<T,TSource:Iterable<T>>(TSource,function(T)->Int)->Int	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:32	Api	Pop.Standard	Pop.Sequence	productBy	productBy<T,TSource:Iterable<T>>(TSource,function(T)->Int)->Int	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:33	Api	Pop.Standard	Pop.Sequence	minByOr	minByOr<T,TSource:Iterable<T>>(TSource,function(T)->Int,T)->T	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:34	Api	Pop.Standard	Pop.Sequence	maxByOr	maxByOr<T,TSource:Iterable<T>>(TSource,function(T)->Int,T)->T	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:35	Api	Pop.Standard	Pop.Sequence	append	append<T,TSource:Iterable<T>>(TSource,T)->Iterator<T>	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:36	Api	Pop.Standard	Pop.Sequence	prepend	prepend<T,TSource:Iterable<T>>(TSource,T)->Iterator<T>	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:37	Api	Pop.Standard	Pop.Sequence	scan	scan<T,TSource:Iterable<T>,TState>(TSource,TState,function(TState,T)->TState)->Iterator<TState>	standard	prototype	false	architecture/decisions/0075-sequence-projection-and-composition.md
api:38	Api	Pop.Standard	Pop.Sequence	elementAtOr	elementAtOr<T,TSource:Iterable<T>>(TSource,Int,T)->T	standard	prototype	false	architecture/decisions/0076-sequence-index-last-and-reduction.md
api:39	Api	Pop.Standard	Pop.Sequence	findLastOr	findLastOr<T,TSource:Iterable<T>>(TSource,function(T)->Boolean,T)->T	standard	prototype	false	architecture/decisions/0076-sequence-index-last-and-reduction.md
api:40	Api	Pop.Standard	Pop.Sequence	indexLastOr	indexLastOr<T,TSource:Iterable<T>>(TSource,function(T)->Boolean,Int)->Int	standard	prototype	false	architecture/decisions/0076-sequence-index-last-and-reduction.md
api:41	Api	Pop.Standard	Pop.Sequence	reduceOr	reduceOr<T,TSource:Iterable<T>>(TSource,function(T,T)->T,T)->T	standard	prototype	false	architecture/decisions/0076-sequence-index-last-and-reduction.md
api:42	Api	Pop.Standard	Pop.Task	cancellationSource	cancellationSource()->Task.CancelSource	standard	implemented	false	architecture/decisions/0079-native-task-frame-and-cancellation-abi.md
api:43	Api	Pop.Standard	Pop.Task	cancelToken	cancelToken(Task.CancelSource)->CancelToken	standard	implemented	false	architecture/decisions/0079-native-task-frame-and-cancellation-abi.md
api:44	Api	Pop.Standard	Pop.Task	cancel	cancel(Task.CancelSource)->()	standard	implemented	false	architecture/decisions/0079-native-task-frame-and-cancellation-abi.md
api:45	Api	Pop.Standard	Pop.Task	group	group<T>(CancelToken,async function(Task.Group):T)->Task<T>	standard	implemented	false	architecture/decisions/0068-typed-async-tasks-actors-and-distribution.md
api:46	Api	Pop.Standard	Pop.Task	start	start<T>(Task.Group,Task<T>)->Task<T>	standard	implemented	false	architecture/decisions/0068-typed-async-tasks-actors-and-distribution.md
api:47	Api	Pop.Standard	Pop.Bytes	view	view(Bytes)->Bytes.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:48	Api	Pop.Standard	Pop.Bytes	slice	slice(Bytes,Int,Int)->Bytes.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:49	Api	Pop.Standard	Pop.Bytes	slice	slice(Bytes.View,Int,Int)->Bytes.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:50	Api	Pop.Standard	Pop.Bytes	length	length(Bytes.View)->Int	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:51	Api	Pop.Standard	Pop.Bytes	get	get(Bytes.View,Int)->Byte?	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:52	Api	Pop.Standard	Pop.Bytes	toBytes	toBytes(Bytes.View)->Bytes	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:53	Api	Pop.Standard	Pop.Text	view	view(String)->Text.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:54	Api	Pop.Standard	Pop.Text	slice	slice(String,Int,Int)->Text.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:55	Api	Pop.Standard	Pop.Text	slice	slice(Text.View,Int,Int)->Text.View	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:56	Api	Pop.Standard	Pop.Text	length	length(Text.View)->Int	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:57	Api	Pop.Standard	Pop.Text	toString	toString(Text.View)->String	standard	implemented	false	architecture/decisions/0097-compiler-proven-text-and-bytes-views.md
api:58	Api	Pop.Standard	Pop.Math	clamp	clamp(Int,Int,Int)->Int?	standard	prototype	false	architecture/decisions/0111-essential-integer-math-completion.md
api:59	Api	Pop.Standard	Pop.Math	power	power(Int,Int)->Int?	standard	prototype	false	architecture/decisions/0111-essential-integer-math-completion.md
api:60	Api	Pop.Standard	Pop.Math	floorDivide	floorDivide(Int,Int)->Int	standard	prototype	false	architecture/decisions/0111-essential-integer-math-completion.md
api:61	Api	Pop.Standard	Pop.Math	floorRemainder	floorRemainder(Int,Int)->Int	standard	prototype	false	architecture/decisions/0111-essential-integer-math-completion.md
api:62	Api	Pop.Standard	Pop.Bytes	equals	equals(Bytes.View,Bytes.View)->Boolean	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:63	Api	Pop.Standard	Pop.Bytes	compare	compare(Bytes.View,Bytes.View)->Int	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:64	Api	Pop.Standard	Pop.Bytes	startsWith	startsWith(Bytes.View,Bytes.View)->Boolean	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:65	Api	Pop.Standard	Pop.Bytes	endsWith	endsWith(Bytes.View,Bytes.View)->Boolean	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:66	Api	Pop.Standard	Pop.Bytes	contains	contains(Bytes.View,Byte)->Boolean	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:67	Api	Pop.Standard	Pop.Bytes	indexOf	indexOf(Bytes.View,Byte,Int)->Int?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:68	Api	Pop.Standard	Pop.Bytes	readUInt16BigEndian	readUInt16BigEndian(Bytes.View,Int)->UInt16?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:69	Api	Pop.Standard	Pop.Bytes	readUInt16LittleEndian	readUInt16LittleEndian(Bytes.View,Int)->UInt16?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:70	Api	Pop.Standard	Pop.Bytes	readUInt32BigEndian	readUInt32BigEndian(Bytes.View,Int)->UInt32?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:71	Api	Pop.Standard	Pop.Bytes	readUInt32LittleEndian	readUInt32LittleEndian(Bytes.View,Int)->UInt32?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:72	Api	Pop.Standard	Pop.Bytes	readUInt64BigEndian	readUInt64BigEndian(Bytes.View,Int)->UInt64?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:73	Api	Pop.Standard	Pop.Bytes	readUInt64LittleEndian	readUInt64LittleEndian(Bytes.View,Int)->UInt64?	standard	implemented	false	architecture/decisions/0113-portable-bytes-inspection-and-endian-reads.md
api:74	Api	Pop.Standard	Pop.Unicode	fromCodePoint	fromCodePoint(UInt32)->Rune?	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:75	Api	Pop.Standard	Pop.Unicode	codePoint	codePoint(Rune)->UInt32	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:76	Api	Pop.Standard	Pop.Text	get	get(String,Int)->Rune?	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:77	Api	Pop.Standard	Pop.Text	get	get(Text.View,Int)->Rune?	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:78	Api	Pop.Standard	Pop.Unicode	isAscii	isAscii(Rune)->Boolean	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:79	Api	Pop.Standard	Pop.Unicode	isAsciiLetter	isAsciiLetter(Rune)->Boolean	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:80	Api	Pop.Standard	Pop.Unicode	isAsciiDigit	isAsciiDigit(Rune)->Boolean	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:81	Api	Pop.Standard	Pop.Unicode	isAsciiAlphanumeric	isAsciiAlphanumeric(Rune)->Boolean	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:82	Api	Pop.Standard	Pop.Unicode	isAsciiWhitespace	isAsciiWhitespace(Rune)->Boolean	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:83	Api	Pop.Standard	Pop.Unicode	toAsciiLower	toAsciiLower(Rune)->Rune	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:84	Api	Pop.Standard	Pop.Unicode	toAsciiUpper	toAsciiUpper(Rune)->Rune	standard	prototype	false	architecture/decisions/0114-unicode-scalar-value-and-text-access.md
api:85	Api	Pop.Standard	Pop.Bytes	create	create()->Bytes.Buffer	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:86	Api	Pop.Standard	Pop.Bytes	withCapacity	withCapacity(Int)->Bytes.Buffer	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:87	Api	Pop.Standard	Pop.Bytes	length	length(Bytes.Buffer)->Int	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:88	Api	Pop.Standard	Pop.Bytes	reserve	reserve(Bytes.Buffer,Int)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:89	Api	Pop.Standard	Pop.Bytes	clear	clear(Bytes.Buffer)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:90	Api	Pop.Standard	Pop.Bytes	write	write(Bytes.Buffer,Byte)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:91	Api	Pop.Standard	Pop.Bytes	write	write(Bytes.Buffer,Bytes)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:92	Api	Pop.Standard	Pop.Bytes	write	write(Bytes.Buffer,Bytes.View)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:93	Api	Pop.Standard	Pop.Bytes	writeUInt16BigEndian	writeUInt16BigEndian(Bytes.Buffer,UInt16)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:94	Api	Pop.Standard	Pop.Bytes	writeUInt16LittleEndian	writeUInt16LittleEndian(Bytes.Buffer,UInt16)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:95	Api	Pop.Standard	Pop.Bytes	writeUInt32BigEndian	writeUInt32BigEndian(Bytes.Buffer,UInt32)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:96	Api	Pop.Standard	Pop.Bytes	writeUInt32LittleEndian	writeUInt32LittleEndian(Bytes.Buffer,UInt32)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:97	Api	Pop.Standard	Pop.Bytes	writeUInt64BigEndian	writeUInt64BigEndian(Bytes.Buffer,UInt64)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:98	Api	Pop.Standard	Pop.Bytes	writeUInt64LittleEndian	writeUInt64LittleEndian(Bytes.Buffer,UInt64)->()	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:99	Api	Pop.Standard	Pop.Bytes	toBytes	toBytes(Bytes.Buffer)->Bytes	standard	implemented	false	architecture/decisions/0117-reusable-byte-buffer-and-endian-writes.md
api:100	Api	Pop.Standard	Pop.Text	encodeUtf8	encodeUtf8(String)->Bytes	standard	implemented	false	architecture/decisions/0118-checked-utf8-transcoding.md
api:101	Api	Pop.Standard	Pop.Text	encodeUtf8	encodeUtf8(Text.View)->Bytes	standard	implemented	false	architecture/decisions/0118-checked-utf8-transcoding.md
api:102	Api	Pop.Standard	Pop.Text	decodeUtf8	decodeUtf8(Bytes.View)->String?	standard	implemented	false	architecture/decisions/0118-checked-utf8-transcoding.md
api:103	Api	Pop.Standard	Pop.Text	decodeUtf8	decodeUtf8(Bytes.Buffer)->String?	standard	implemented	false	architecture/decisions/0118-checked-utf8-transcoding.md
api:104	Api	Pop.Standard	Pop.Bytes	hexEncode	hexEncode(Bytes.View)->String	standard	implemented	false	architecture/decisions/0119-portable-hexadecimal-codec.md
api:105	Api	Pop.Standard	Pop.Bytes	hexDecode	hexDecode(String)->Bytes?	standard	implemented	false	architecture/decisions/0119-portable-hexadecimal-codec.md
api:106	Api	Pop.Standard	Pop.Bytes	base64Encode	base64Encode(Bytes.View)->String	standard	implemented	false	architecture/decisions/0120-portable-base64-codec.md
api:107	Api	Pop.Standard	Pop.Bytes	base64Decode	base64Decode(String)->Bytes?	standard	implemented	false	architecture/decisions/0120-portable-base64-codec.md
api:108	Api	Pop.Standard	Pop.Bytes	base32Encode	base32Encode(Bytes.View)->String	standard	implemented	false	architecture/decisions/0121-portable-base32-codec.md
