schemaVersion	1
functionId	sourceName	ownerBubble	parameterTypes	resultTypes	effects	prelude
50	Net.Tcp.receiveClosed	Pop.Standard	Net.Tcp.Receive	Boolean	-	false
51	Net.Udp.bind	Pop.Standard	UInt16	Net.Udp.Socket	AmbientIo,MayTrap	false
52	Net.Udp.localPort	Pop.Standard	Net.Udp.Socket	UInt16	AmbientIo,MayTrap	false
53	Net.Udp.sendByteTo	Pop.Standard	Net.Udp.Socket,UInt32,UInt16,Byte	Net.SocketIoOutcome	AmbientIo,MayTrap	false
54	Net.Udp.receiveByte	Pop.Standard	Net.Udp.Socket	Net.Udp.Datagram?	AmbientIo,MayTrap	false
55	Net.Udp.close	Pop.Standard	Net.Udp.Socket	Boolean	AmbientIo	false
56	Net.Udp.datagramByte	Pop.Standard	Net.Udp.Datagram	Byte	-	false
57	Net.Udp.datagramAddress	Pop.Standard	Net.Udp.Datagram	UInt32	-	false
58	Net.Udp.datagramPort	Pop.Standard	Net.Udp.Datagram	UInt16	-	false
59	Atomic.fetchAddInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
60	Atomic.fetchSubtractInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
61	Atomic.fetchAndInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
62	Atomic.fetchOrInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
63	Atomic.fetchXorInt	Pop.Standard	Atomic.Int,Int,Atomic.ReadModifyWriteOrder	Int	Synchronizes,MayTrap	false
64	Net.Tcp.send	Pop.Standard	Net.Tcp.Stream,Bytes	Net.Transfer	AmbientIo,MayTrap	false
65	Net.Tcp.receive	Pop.Standard	Net.Tcp.Stream,Bytes.Buffer,UInt64	Net.Transfer	AmbientIo,MayTrap	false
66	Net.transferProgress	Pop.Standard	Net.Transfer	Boolean	-	false
67	Net.transferWouldBlock	Pop.Standard	Net.Transfer	Boolean	-	false
68	Net.transferClosed	Pop.Standard	Net.Transfer	Boolean	-	false
69	Net.transferredByteCount	Pop.Standard	Net.Transfer	UInt64	-	false
70	Net.Udp.sendTo	Pop.Standard	Net.Udp.Socket,UInt32,UInt16,Bytes	Net.Transfer	AmbientIo,MayTrap	false
71	Net.Udp.receive	Pop.Standard	Net.Udp.Socket,Bytes.Buffer,UInt64	Net.Udp.Transfer?	AmbientIo,MayTrap	false
72	Net.Udp.transferredByteCount	Pop.Standard	Net.Udp.Transfer	UInt64	-	false
73	Net.Udp.sourceAddress	Pop.Standard	Net.Udp.Transfer	UInt32	-	false
74	Net.Udp.sourcePort	Pop.Standard	Net.Udp.Transfer	UInt16	-	false
75	Net.Tcp.listenAt	Pop.Standard	Net.Ipv4Address,UInt16	Net.Tcp.Listener	AmbientIo,MayTrap	false
76	Net.Tcp.connectTo	Pop.Standard	Net.Ipv4Address,UInt16	Net.Tcp.Stream	AmbientIo,MayTrap	false
77	Net.Udp.bindAt	Pop.Standard	Net.Ipv4Address,UInt16	Net.Udp.Socket	AmbientIo,MayTrap	false
78	Net.Tcp.listenAt	Pop.Standard	Net.Ipv6Address,UInt16	Net.Tcp.Listener	AmbientIo,MayTrap	false
79	Net.Tcp.connectTo	Pop.Standard	Net.Ipv6Address,UInt16	Net.Tcp.Stream	AmbientIo,MayTrap	false
80	Net.Udp.bindAt	Pop.Standard	Net.Ipv6Address,UInt16	Net.Udp.Socket	AmbientIo,MayTrap	false
81	Net.Tcp.listenScopedAt	Pop.Standard	Net.ScopedIpv6Address,UInt16	Net.Tcp.Listener	AmbientIo,MayTrap	false
82	Net.Tcp.connectScopedTo	Pop.Standard	Net.ScopedIpv6Address,UInt16	Net.Tcp.Stream	AmbientIo,MayTrap	false
83	Net.Udp.bindScopedAt	Pop.Standard	Net.ScopedIpv6Address,UInt16	Net.Udp.Socket	AmbientIo,MayTrap	false
84	Net.Dns.systemResolver	Pop.Standard	-	Net.Dns.Resolver	AmbientIo,MayTrap	false
85	Net.Dns.resolve	Pop.Standard	Net.Dns.Resolver,Net.DnsName,UInt16	Net.Dns.Answers	AmbientIo,MayTrap	false
86	Net.Dns.closeResolver	Pop.Standard	Net.Dns.Resolver	Boolean	AmbientIo	false
87	Net.Dns.answerCount	Pop.Standard	Net.Dns.Answers	UInt64	-	false
88	Net.Dns.answerFamily	Pop.Standard	Net.Dns.Answers,UInt64	Byte	MayTrap	false
89	Net.Dns.answerIpv4	Pop.Standard	Net.Dns.Answers,UInt64	UInt32?	-	false
90	Net.Dns.answerIpv6Word	Pop.Standard	Net.Dns.Answers,UInt64,Byte	UInt32?	-	false
91	Net.Dns.closeAnswers	Pop.Standard	Net.Dns.Answers	Boolean	AmbientIo	false
