code	severity	category	warningWave	messageKey	helpKey	argumentSchema	suppressible	documentationUrl	owner	quickFixProviders	editionIntroduced	editionDeprecated
POP2025	Error	Type	-	types.ambiguousResultCase	-	Identifier	false	diagnostics/POP2025	types	-	1	-
POP2026	Error	Type	-	types.illegalCleanupControl	-	Identifier	false	diagnostics/POP2026	types	-	1	-
POP2027	Error	Type	-	types.invalidGenericBound	-	Identifier,Identifier	false	diagnostics/POP2027	types	-	1	-
POP2028	Error	Type	-	types.genericInferenceFailure	-	Identifier,Identifier	false	diagnostics/POP2028	types	-	1	-
POP2029	Error	Type	-	types.structuralMutationDuringIteration	-	Identifier	false	diagnostics/POP2029	types	-	1	-
POP2030	Error	Type	-	types.awaitOutsideAsync	-	-	false	diagnostics/POP2030	types	-	1	-
POP2031	Error	Type	-	types.awaitNonTask	-	Identifier	false	diagnostics/POP2031	types	-	1	-
POP2032	Error	Type	-	types.invalidCheckedCastTarget	-	Type,Identifier	false	diagnostics/POP2032	types	-	1	-
POP2033	Error	Type	-	types.invalidCheckedCastOperand	-	Type,Type,Identifier	false	diagnostics/POP2033	types	-	1	-
POP2034	Error	Type	-	types.incompatibleCheckedCast	-	Type,Type,Identifier	false	diagnostics/POP2034	types	-	1	-
POP2035	Error	Type	-	types.borrowedViewEscape	-	Identifier,Identifier	false	diagnostics/POP2035	types	-	1	-
POP2036	Error	Type	-	types.borrowedViewRetained	-	Identifier,Identifier	false	diagnostics/POP2036	types	-	1	-
POP2037	Error	Type	-	types.borrowedViewAcrossSuspension	-	Identifier	false	diagnostics/POP2037	types	-	1	-
POP2038	Error	Type	-	types.invalidViewCallableProvenance	-	Identifier,Identifier	false	diagnostics/POP2038	types	-	1	-
POP4001	Error	CompileTime	-	compileTime.ineligibleConstantExpression	-	Identifier	false	diagnostics/POP4001	compile-time	-	1	-
POP4002	Error	CompileTime	-	compileTime.constantIntegerOverflow	-	Identifier	false	diagnostics/POP4002	compile-time	-	1	-
POP4003	Error	CompileTime	-	compileTime.constantDivisionByZero	-	Identifier	false	diagnostics/POP4003	compile-time	-	1	-
POP4004	Error	CompileTime	-	compileTime.functionNotEligible	-	Identifier	false	diagnostics/POP4004	compile-time	-	1	-
POP4005	Error	CompileTime	-	compileTime.forbiddenEffect	-	Identifier,Identifier	false	diagnostics/POP4005	compile-time	-	1	-
POP4006	Error	CompileTime	-	compileTime.cycle	-	Identifier	false	diagnostics/POP4006	compile-time	-	1	-
POP4007	Error	CompileTime	-	compileTime.resourceLimit	-	Identifier,Unsigned	false	diagnostics/POP4007	compile-time	-	1	-
POP4008	Error	CompileTime	-	compileTime.attributeValidatorRejected	-	Identifier	false	diagnostics/POP4008	compile-time	-	1	-
POP4009	Error	CompileTime	-	compileTime.invalidAttributeValidatorSignature	-	Identifier	false	diagnostics/POP4009	compile-time	-	1	-
POP5000	Error	RuntimeSafety	-	ffi.invalidForeignContract	-	Identifier	false	diagnostics/POP5000	ffi	-	1	-
POP5080	Error	RuntimeSafety	-	ffi.generator.invalidManifest	-	Identifier	false	diagnostics/POP5080	ffi-generator	-	1	-
POP5081	Error	RuntimeSafety	-	ffi.generator.invalidInput	-	Identifier	false	diagnostics/POP5081	ffi-generator	-	1	-
POP5082	Error	RuntimeSafety	-	ffi.generator.invalidDescriptor	-	Identifier	false	diagnostics/POP5082	ffi-generator	-	1	-
POP5083	Error	RuntimeSafety	-	ffi.generator.resourceLimit	-	Identifier	false	diagnostics/POP5083	ffi-generator	-	1	-
POP5084	Error	RuntimeSafety	-	ffi.generator.policyMismatch	-	Identifier	false	diagnostics/POP5084	ffi-generator	-	1	-
POP5085	Error	RuntimeSafety	-	ffi.generator.unsupportedAbi	-	Identifier	false	diagnostics/POP5085	ffi-generator	-	1	-
POP5086	Error	RuntimeSafety	-	ffi.generator.outputConflict	-	Identifier	false	diagnostics/POP5086	ffi-generator	-	1	-
POP5087	Error	RuntimeSafety	-	ffi.generator.publicationIo	-	Identifier	false	diagnostics/POP5087	ffi-generator	-	1	-
POP6400	Warning	Style	1	documentation.unsafeXml	-	-	true	diagnostics/POP6400	documentation	-	1	-
POP6401	Warning	Style	1	documentation.malformedXml	-	-	true	diagnostics/POP6401	documentation	-	1	-
POP6402	Warning	Style	1	documentation.invalidErrorTag	-	Identifier	true	diagnostics/POP6402	documentation	-	1	-
POP6403	Warning	Style	1	documentation.missingErrorCase	-	Identifier	true	diagnostics/POP6403	documentation	-	1	-
POP6404	Warning	Style	1	documentation.missingSummary	-	Identifier	true	diagnostics/POP6404	documentation	-	1	-
POP6405	Warning	Style	1	documentation.duplicateSummary	-	Identifier	true	diagnostics/POP6405	documentation	-	1	-
POP6406	Warning	Style	1	documentation.invalidInheritance	-	Identifier	true	diagnostics/POP6406	documentation	-	1	-
POP6407	Warning	Style	1	documentation.inheritanceCycle	-	Identifier	true	diagnostics/POP6407	documentation	-	1	-
POP6408	Warning	Style	1	documentation.invalidReturns	-	Identifier	true	diagnostics/POP6408	documentation	-	1	-
POP7000	Error	Backend	-	backend.bpf.invalidEntryPoint	-	Identifier	false	diagnostics/POP7000	backend	-	1	-
POP7001	Error	Backend	-	backend.bpf.unsupportedMirOperation	-	Identifier	false	diagnostics/POP7001	backend	-	1	-
POP7002	Error	Backend	-	backend.bpf.unsupportedTypeOrLayout	-	Identifier	false	diagnostics/POP7002	backend	-	1	-
POP7003	Error	Backend	-	backend.bpf.managedAllocationUnavailable	-	Identifier	false	diagnostics/POP7003	backend	-	1	-
POP7004	Error	Backend	-	backend.bpf.floatingPointUnavailable	-	Identifier	false	diagnostics/POP7004	backend	-	1	-
POP7005	Error	Backend	-	backend.bpf.callUnavailable	-	Identifier	false	diagnostics/POP7005	backend	-	1	-
POP7006	Error	Backend	-	backend.runtimeContractUnavailable	-	Identifier	false	diagnostics/POP7006	backend	-	1	-
POP7007	Error	Backend	-	backend.bpf.llvmTargetUnavailable	-	Identifier	false	diagnostics/POP7007	backend	-	1	-
POP7008	Error	Backend	-	backend.unknownTarget	-	Identifier	false	diagnostics/POP7008	backend	-	1	-
POP7009	Error	Backend	-	backend.bpf.loopBoundUnavailable	-	Identifier	false	diagnostics/POP7009	backend	-	1	-
